,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Thayer,High-MA,1,28,20,4,26,4,0.0,48,,,,,,,,,,,,,,,,
0,20092010,South Shore,EJHL,1,42,21,50,42,50,0.0,63,,,,,,,,,,,,,,,,
0,20092010,USNTDP,U-18,2,0,1,2,4,2,0.0,1,,,,,,,,,,,,,,,,
0,20102011,Boston University,H-East,1,19,7,34,37,34,,26,3.0,0.0,0.0,,,,,,,,,,,,,
0,20102011,U.S.A.,WJC-A,2,4,2,4,6,4,,6,2.0,1.0,0.0,1.0,,,,,,,,,,,,
0,20112012,Boston University,H-East,1,11,3,20,16,20,,14,2.0,0.0,1.0,,,,,,,,,,,,,
0,20112012,Saint John,QMJHL,2,23,15,8,23,8,,38,3.0,1.0,2.0,23.0,80.0,18.75,,,,,,,,,,
0,20112012,U.S.A.,WJC-A,4,1,4,2,6,2,,5,1.0,0.0,0.0,2.0,,,,,,,,,,,,
0,20122013,Minnesota Wild,National Hockey League,1,6,8,28,37,28,34.62,14,1.0,2.0,0.0,3.0,50.0,16.0,557:19,50.0,1.0,28:27,514:14,0.0,0.0,14:38,9.0,762.0
0,20122013,Houston,AHL,2,11,14,22,47,22,,25,5.0,3.0,0.0,-8.0,70.0,20.0,,,,,,,,,,
0,20132014,Minnesota Wild,National Hockey League,1,18,12,33,70,33,41.92,30,2.0,2.0,0.0,-7.0,135.0,8.89,1196:23,108.0,3.0,157:14,1028:48,0.0,0.0,10:21,37.0,1552.0
0,20142015,Minnesota Wild,National Hockey League,1,24,11,39,82,39,46.52,35,1.0,4.0,0.0,13.0,120.0,9.17,1193:22,137.0,3.0,104:35,1084:19,0.0,0.0,04:28,52.0,1571.0
0,20142015,U.S.A.,WC-A,2,2,3,6,5,6,,5,0.0,1.0,0.0,3.0,8.0,,,,,,,,,,,
0,20152016,Minnesota Wild,National Hockey League,1,21,21,16,82,16,45.42,42,2.0,4.0,0.0,1.0,140.0,15.0,1419:12,131.0,6.0,156:21,1218:01,0.0,1.0,44:50,61.0,1763.0
0,20162017,Minnesota Wild,National Hockey League,1,38,18,36,82,36,45.97,56,4.0,5.0,0.0,13.0,159.0,11.32,1369:34,101.0,9.0,175:02,1165:06,0.0,0.0,29:26,63.0,1721.0
0,20172018,Minnesota Wild,National Hockey League,1,26,11,18,66,18,52.17,37,0.0,1.0,1.0,8.0,117.0,9.4,1091:11,76.0,3.0,90:45,933:10,0.0,1.0,67:16,63.0,1355.0
0,20182019,Minnesota Wild,National Hockey League,1,18,10,16,60,16,46.03,28,1.0,2.0,1.0,1.0,113.0,8.85,1023:24,61.0,3.0,113:59,837:41,0.0,1.0,71:44,45.0,1284.0
0,20182019,Boston Bruins,National Hockey League,2,4,2,4,21,4,45.5,6,0.0,0.0,0.0,-2.0,42.0,4.76,335:32,16.0,1.0,26:38,296:36,0.0,0.0,12:18,11.0,392.0
0,20192020,Boston Bruins,National Hockey League,1,21,16,21,70,21,46.64,37,1.0,3.0,2.0,9.0,145.0,11.0,1175:14,83.0,5.0,130:47,981:21,0.0,2.0,63:06,34.0,1423.0
0,20202021,Boston Bruins,National Hockey League,1,10,6,20,51,20,48.32,16,0.0,2.0,1.0,-4.0,79.0,7.6,830:45,57.0,2.0,67:26,665:11,0.0,1.0,98:08,24.0,1067.0
0,20212022,Boston Bruins,National Hockey League,1,28,16,32,82,32,49.09,44,3.0,5.0,0.0,-6.0,131.0,12.2,1427:27,84.0,9.0,154:18,1139:40,2.0,1.0,133:29,39.0,1762.0
