,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,York Simcoe,Minor-ON,1,55,35,28,57,28,90,,,,,,,,,,,,,,,,,
0,20092010,York Simcoe,Exhib.,2,1,2,0,6,0,3,,,,,,,,,,,,,,,,,
0,20102011,London,OHL,1,8,3,12,47,12,11,0.0,0.0,-10.0,,,,,,,,,,,,,,
0,20112012,London,OHL,1,23,11,20,65,20,34,0.0,2.0,25.0,,,,,,,,,,,,,,
0,20122013,London,OHL,1,39,18,12,68,12,57,5.0,1.0,6.0,,,,,,,,,,,,,,
0,20132014,London,OHL,1,49,40,12,67,12,89,7.0,4.0,44.0,6.0,,,,,,,,,,,,,
0,20142015,San Jose Sharks,National Hockey League,1,15,6,6,43,6,21,1.0,0.0,3.0,1.0,526:39,48.0,11.0,4.0,33:11,487:21,43.86,12.5,0.0,0.0,06:07,17.0,765.0
0,20142015,Worcester,AHL,2,21,8,10,29,10,29,2.0,0.0,8.0,1.0,,55.0,,,,,,14.5,,,,,
0,20152016,San Jose Sharks,National Hockey League,1,13,7,20,79,20,20,1.0,1.0,-16.0,2.0,1042:11,96.0,24.0,1.0,13:40,908:35,45.71,7.29,0.0,1.0,119:56,39.0,1556.0
0,20152016,San Jose,AHL,2,2,1,0,2,0,3,0.0,0.0,3.0,0.0,,5.0,,,,,,20.0,,,,,
0,20152016,San Jose Barracuda,AHL,187427,2,1,0,2,0,3,,,3.0,,,,,,,,,,,,,,
0,20162017,San Jose Sharks,National Hockey League,1,12,11,6,80,6,23,1.0,1.0,0.0,2.0,1168:18,90.0,50.0,1.0,21:53,1003:13,48.55,12.22,0.0,2.0,143:12,44.0,1722.0
0,20172018,San Jose Sharks,National Hockey League,1,23,17,8,82,8,40,3.0,2.0,0.0,2.0,1311:59,118.0,26.0,7.0,81:18,1102:37,51.05,14.41,0.0,4.0,128:04,45.0,1863.0
0,20182019,Ottawa Senators,National Hockey League,1,39,9,26,81,26,48,0.0,0.0,-22.0,1.0,1379:29,116.0,30.0,10.0,139:28,1102:58,50.91,7.76,0.0,0.0,137:03,54.0,1737.0
0,20192020,Ottawa Senators,National Hockey League,1,26,11,20,71,20,37,1.0,4.0,-6.0,2.0,1220:29,102.0,44.0,2.0,66:54,988:37,51.18,10.8,1.0,5.0,164:58,37.0,1743.0
0,20202021,Ottawa Senators,National Hockey League,1,13,6,8,55,8,19,0.0,0.0,-12.0,3.0,824:27,53.0,23.0,0.0,07:15,706:32,45.59,11.3,0.0,1.0,110:40,32.0,1145.0
0,20212022,Ottawa Senators,National Hockey League,1,12,6,14,70,14,18,3.0,0.0,-12.0,2.0,869:01,72.0,42.0,5.0,95:16,759:22,49.72,8.3,0.0,0.0,14:23,30.0,1195.0
