,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,KalPa U16,Jr. C SM-sarja,80152,8,14,10,26,10,0.0,22,,,,,,,,,,,,,,,,
0,20112012,KalPa U18,Fin-U18,1,11,13,8,27,8,,24,,,,,,,,,,,,,,,,
0,20122013,KalPa U18,Fin-U18,1,3,3,0,3,0,,6,,,,,,,,,,,,,,,,
0,20122013,KalPa Jr.,Fin-Jr.,2,15,14,16,36,16,,29,,,,,,,,,,,,,,,,
0,20122013,KalPa,Finland,3,0,4,2,13,2,,4,,,,,,,,,,,,,,,,
0,20132014,KalPa U18,Fin-U18,1,1,5,0,2,0,,6,,,,,,,,,,,,,,,,
0,20132014,KalPa,Finland,2,7,7,10,47,10,,14,,,,,,,,,,,,,,,,
0,20132014,Finland,WJ18-A,3,1,1,0,5,0,-3.0,2,18.0,1.0,0.0,0.0,,,,,,,,,,,,
0,20142015,KalPa,Finland,1,10,11,14,41,14,,21,,,,,,,,,,,,,,,,
0,20142015,Finland,WJC-A,2,0,1,0,5,0,-1.0,1,6.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20142015,Wilkes-Barre,AHL,3,1,1,0,4,0,-1.0,2,9.0,0.0,1.0,0.0,11.1,,,,,,,,,,,
0,20152016,Toronto Maple Leafs,National Hockey League,1,0,0,2,9,2,-3.0,0,14.0,0.0,0.0,0.0,0.0,133:01,10.0,0.0,15:44,117:17,0.0,0.0,0.0,00:00,1.0,174.0
0,20152016,Toronto,AHL,2,16,9,8,44,8,7.0,25,65.0,4.0,1.0,0.0,13.8,,,,,,,,,,,
0,20152016,Finland,WJC-A,3,3,2,2,7,2,-2.0,5,22.0,1.0,1.0,0.0,,,,,,,,,,,,
0,20152016,Toronto Marlies,AHL,13377,16,9,8,44,8,7.0,25,,,,,,,,,,,,,,,,
0,20152016,Finland U20,WJC-20,17116,3,2,2,7,2,-2.0,5,,,,,,,,,,,,,,,,
0,20162017,Toronto Maple Leafs,National Hockey League,1,0,1,0,8,0,-2.0,1,11.0,0.0,0.0,0.0,9.09,85:34,6.0,0.0,00:27,73:57,0.0,0.0,0.0,11:10,2.0,137.0
0,20162017,Toronto Marlies,AHL,13377,25,18,16,43,16,2.0,43,,,,,,,,,,,,,,,,
0,20172018,Toronto Maple Leafs,National Hockey League,1,2,7,4,38,4,-1.0,9,55.0,0.0,1.0,1.0,12.73,427:20,57.0,0.0,01:14,385:04,14.29,0.0,1.0,41:02,9.0,642.0
0,20172018,Toronto Marlies,AHL,13377,12,12,12,28,12,8.0,24,,,,,,,,,,,,,,,,
0,20172018,Finland,WC,17055,0,3,0,8,0,1.0,3,,,,,,,,,,,,,,,,
0,20182019,Toronto Maple Leafs,National Hockey League,1,24,20,27,78,27,12.0,44,174.0,1.0,3.0,2.0,11.49,1295:41,92.0,3.0,61:54,1108:00,50.0,1.0,2.0,125:47,19.0,1805.0
0,20192020,Toronto Maple Leafs,National Hockey League,1,23,13,22,69,22,0.0,36,121.0,0.0,2.0,2.0,10.7,1089:31,73.0,3.0,86:31,888:55,13.33,1.0,2.0,114:05,17.0,1460.0
0,20202021,Pittsburgh Penguins,National Hockey League,1,19,11,7,40,7,15.0,30,68.0,1.0,3.0,0.0,16.2,621:16,41.0,4.0,61:42,557:30,0.0,1.0,0.0,02:04,8.0,843.0
0,20212022,Pittsburgh Penguins,National Hockey League,1,21,11,16,79,16,2.0,32,129.0,0.0,2.0,0.0,8.5,1148:03,110.0,5.0,127:13,1020:42,41.67,0.0,0.0,00:08,19.0,1483.0
