,season,team,league,sequenceNumber,timeOnIce,shutouts,ties,wins,losses,goalAgainstAverage,games,goalsAgainst,saves,savePercentage,shotsAgainst,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,ot
0,19992000,Charles-Lemoyne,QAAA,1,780:00,1,0.0,4.0,9.0,2.77,15,36,,,,,,,,,,,,,,
0,20002001,Cape Breton,QMJHL,1,1705:00,0,2.0,12.0,13.0,4.05,35,115,,,,,,,,,,,,,,
0,20012002,Cape Breton,QMJHL,1,3043:00,2,8.0,26.0,14.0,2.78,55,141,,,,,,,,,,,,,,
0,20022003,Cape Breton,QMJHL,1,2889:00,2,6.0,17.0,24.0,3.36,51,162,1639.0,0.91,1801.0,,,,,,,,,,,
0,20022003,Canada,WJC-A,2,267:00,1,,,,1.57,5,7,90.0,,97.0,,,,,,,,,,,
0,20032004,Pittsburgh Penguins,National Hockey League,1,1154:02,1,2.0,4.0,14.0,3.63941,21,70,605.0,0.896296,675.0,119.0,37.0,449.0,42.0,500.0,133.0,20.0,89.47368421052632,88.09523809523809,89.8,
0,20032004,Cape Breton,QMJHL,2,606:00,0,1.0,8.0,1.0,1.98,10,20,277.0,0.933,297.0,,,,,,,,,,,
0,20032004,Canada,WJC-A,3,299:00,1,0.0,4.0,1.0,1.81,5,9,,,,,,,,,,,,,,
0,20042005,Wilkes-Barre,AHL,1,3029:00,5,4.0,26.0,19.0,2.52,54,127,1159.0,0.901,1286.0,,,,,,,,,,,
0,20052006,Pittsburgh Penguins,National Hockey League,1,2809:13,1,,13.0,27.0,3.246457,50,152,1333.0,0.897643,1485.0,329.0,67.0,938.0,73.0,1026.0,386.0,45.0,85.23316062176166,91.78082191780823,91.42300194931774,6.0
0,20052006,Wilkes-Barre,AHL,2,727:00,0,0.0,10.0,2.0,1.57,12,19,293.0,0.939,312.0,,,,,,,,,,,
0,20062007,Pittsburgh Penguins,National Hockey League,1,3905:28,5,,40.0,16.0,2.826807,67,184,1770.0,0.905834,1954.0,359.0,108.0,1303.0,119.0,1422.0,413.0,65.0,86.92493946731234,90.75630252100841,91.63150492264415,9.0
0,20072008,Pittsburgh Penguins,National Hockey League,1,1857:26,4,,19.0,10.0,2.32579,35,72,837.0,0.920792,909.0,156.0,38.0,643.0,41.0,684.0,184.0,33.0,84.78260869565217,92.6829268292683,94.00584795321637,2.0
0,20072008,Wilkes-Barre,AHL,2,,0,0.0,3.0,2.0,1.42,5,7,133.0,0.95,140.0,,,,,,,,,,,
0,20082009,Pittsburgh Penguins,National Hockey League,1,3640:59,4,,35.0,18.0,2.669608,62,162,1688.0,0.912432,1850.0,319.0,59.0,1310.0,68.0,1421.0,361.0,61.0,88.36565096952909,86.76470588235294,92.18859957776215,7.0
0,20092010,Pittsburgh Penguins,National Hockey League,1,3798:17,1,,37.0,21.0,2.65383,67,168,1604.0,0.905192,1772.0,303.0,45.0,1256.0,49.0,1383.0,340.0,66.0,89.11764705882354,91.83673469387756,90.81706435285611,6.0
0,20102011,Pittsburgh Penguins,National Hockey League,1,3695:10,3,,36.0,20.0,2.321952,65,143,1599.0,0.91791,1742.0,264.0,39.0,1296.0,44.0,1401.0,297.0,62.0,88.88888888888889,88.63636363636364,92.50535331905782,5.0
0,20112012,Pittsburgh Penguins,National Hockey League,1,3896:13,3,,42.0,17.0,2.356132,67,153,1615.0,0.913462,1768.0,213.0,62.0,1340.0,69.0,1464.0,235.0,64.0,90.63829787234042,89.85507246376811,91.53005464480874,4.0
0,20122013,Pittsburgh Penguins,National Hockey League,1,1857:45,1,,23.0,8.0,2.389988,33,74,807.0,0.916005,881.0,116.0,14.0,677.0,15.0,730.0,136.0,31.0,85.29411764705883,93.33333333333333,92.73972602739727,0.0
0,20132014,Pittsburgh Penguins,National Hockey League,1,3792:24,5,,39.0,18.0,2.373167,64,150,1624.0,0.915445,1774.0,265.0,40.0,1319.0,44.0,1439.0,291.0,64.0,91.06529209621993,90.9090909090909,91.66087560806116,5.0
0,20142015,Pittsburgh Penguins,National Hockey League,1,3776:59,10,,34.0,20.0,2.319803,64,146,1685.0,0.920262,1831.0,311.0,44.0,1330.0,52.0,1438.0,341.0,64.0,91.20234604105572,84.61538461538461,92.48956884561892,9.0
0,20152016,Pittsburgh Penguins,National Hockey League,1,3462:33,5,,35.0,17.0,2.287332,58,132,1533.0,0.920721,1665.0,221.0,40.0,1272.0,42.0,1372.0,251.0,58.0,88.04780876494024,95.23809523809523,92.71137026239067,6.0
0,20162017,Pittsburgh Penguins,National Hockey League,1,2125:15,1,,18.0,10.0,3.020821,38,107,1074.0,0.909399,1181.0,167.0,23.0,884.0,24.0,964.0,193.0,34.0,86.52849740932642,95.83333333333334,91.70124481327801,7.0
0,20172018,Vegas Golden Knights,National Hockey League,1,2673:24,4,0.0,29.0,13.0,2.244333,46,100,1276.0,0.927326,1376.0,159.0,25.0,1092.0,27.0,1173.0,176.0,46.0,90.3409090909091,92.5925925925926,93.09462915601023,4.0
0,20182019,Vegas Golden Knights,National Hockey League,1,3635:08,8,0.0,35.0,21.0,2.508849,61,152,1593.0,0.912894,1745.0,227.0,45.0,1321.0,47.0,1441.0,257.0,61.0,88.32684824902724,95.74468085106383,91.67244968771686,5.0
0,20192020,Vegas Golden Knights,National Hockey League,1,2880:06,5,0.0,27.0,16.0,2.7707,49,133,1266.0,0.905,1399.0,186.0,23.0,1057.0,24.0,1155.0,220.0,48.0,84.54545454545455,95.83333333333334,91.51515151515152,5.0
0,20202021,Vegas Golden Knights,National Hockey League,1,2146:36,6,0.0,26.0,10.0,1.9845,36,71,918.0,0.928,989.0,101.0,23.0,794.0,23.0,854.0,112.0,36.0,90.17857142857143,100.0,92.97423887587823,0.0
0,20212022,Chicago Blackhawks,National Hockey League,1,2626:58,4,0.0,19.0,21.0,2.94636,45,129,1269.0,0.908,1398.0,154.0,36.0,1079.0,38.0,1181.0,179.0,45.0,86.03351955307262,94.73684210526315,91.36325148179509,5.0
0,20212022,Minnesota Wild,National Hockey League,2,657:54,0,0.0,9.0,2.0,2.73598,11,30,304.0,0.91,334.0,50.0,10.0,244.0,12.0,262.0,60.0,11.0,83.33333333333334,83.33333333333334,93.12977099236642,0.0
