,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Cgy. Bronks,AMBHL,1,8,3,26,33,26,11,,,,,,,,,,,,,,,,,
0,20082009,Cgy. Bronks,AMBHL,1,18,20,96,33,96,38,,,,,,,,,,,,,,,,,
0,20092010,Edge School,High-AB,1,28,16,47,41,47,44,,,,,,,,,,,,,,,,,
0,20092010,Red Deer,WHL,2,2,0,4,6,4,2,0.0,0.0,-1.0,,,,,,,,,,,,,,
0,20102011,Red Deer,WHL,1,11,15,83,62,83,26,4.0,0.0,24.0,,,,,,,,,,,,,,
0,20112012,Red Deer,WHL,1,37,20,67,69,67,57,9.0,1.0,-6.0,,,,,,,,,,,,,,
0,20112012,Canada,WJ18-A,2,7,5,20,7,20,12,2.0,0.0,2.0,0.0,,,,,,,,,,,,,
0,20122013,Red Deer,WHL,1,26,16,80,62,80,42,6.0,1.0,10.0,,,,,,,,,,,,,,
0,20122013,Houston,AHL,2,0,0,2,3,2,0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,
0,20132014,Minnesota Wild,National Hockey League,1,1,1,2,13,2,2,1.0,0.0,-5.0,0.0,12.0,8.33,161:50,9.0,2.0,21:27,139:51,0.0,0.0,0.0,00:32,3.0,232.0
0,20132014,Portland,WHL,2,16,8,37,26,37,24,5.0,0.0,31.0,,,,,,,,,,,,,,
0,20132014,Canada,WJC-A,3,1,0,12,7,12,1,0.0,0.0,4.0,0.0,10.0,,,,,,,,,,,,
0,20142015,Minnesota Wild,National Hockey League,1,8,8,23,58,23,16,2.0,0.0,13.0,2.0,86.0,9.3,870:36,42.0,6.0,91:15,759:32,0.0,1.0,0.0,19:49,51.0,1129.0
0,20142015,Iowa,AHL,2,9,5,6,20,6,14,2.0,0.0,2.0,0.0,39.0,12.8,,,,,,,,,,,
0,20152016,Minnesota Wild,National Hockey League,1,16,10,38,81,38,26,6.0,0.0,1.0,3.0,152.0,6.58,1364:05,83.0,12.0,175:43,1175:46,0.0,0.0,0.0,12:36,56.0,1755.0
0,20152016,Canada,WC-A,2,1,1,2,10,2,2,1.0,0.0,8.0,0.0,12.0,,,,,,,,,,,,
0,20152016,Canada,WC,17155,1,1,2,10,2,2,,,8.0,,,,,,,,,,,,,,
0,20162017,Minnesota Wild,National Hockey League,1,23,11,59,76,59,34,6.0,0.0,15.0,1.0,131.0,8.4,1544:46,96.0,12.0,172:57,1325:24,0.0,1.0,1.0,46:25,71.0,1855.0
0,20172018,Minnesota Wild,National Hockey League,1,36,14,41,82,41,50,2.0,0.0,15.0,4.0,176.0,7.95,1952:49,136.0,12.0,192:23,1610:22,100.0,2.0,1.0,150:04,112.0,2112.0
0,20182019,Minnesota Wild,National Hockey League,1,10,12,21,32,21,22,6.0,0.0,-5.0,1.0,93.0,12.9,748:02,60.0,12.0,86:58,611:39,0.0,0.0,0.0,49:25,43.0,799.0
0,20192020,Minnesota Wild,National Hockey League,1,18,6,41,69,41,24,1.0,0.0,-7.0,1.0,167.0,3.6,1552:29,98.0,8.0,183:17,1292:46,0.0,1.0,1.0,76:26,88.0,1655.0
0,20202021,Minnesota Wild,National Hockey League,1,15,6,46,51,46,21,1.0,0.0,1.0,1.0,89.0,6.7,1136:16,74.0,5.0,101:16,939:51,0.0,1.0,0.0,95:09,75.0,1184.0
0,20212022,Minnesota Wild,National Hockey League,1,20,7,47,57,47,27,1.0,0.0,9.0,1.0,116.0,6.0,1317:00,114.0,5.0,99:19,1102:40,0.0,0.0,0.0,115:01,84.0,1377.0
