,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Tor. Young Nats,GTHL,1,47,39,56,51,56,0.0,86,,,,,,,,,,,,,,,,
0,20082009,Plymouth,OHL,1,46,21,28,61,28,,67,8.0,0.0,14.0,,,,,,,,,,,,,
0,20092010,Plymouth,OHL,1,58,48,54,63,54,,106,13.0,0.0,17.0,,,,,,,,,,,,,
0,20102011,Boston Bruins,National Hockey League,1,11,11,18,74,18,49.5,22,1.0,0.0,-4.0,903:32,131.0,20.0,3.0,100:49,800:45,8.4,0.0,0.0,0.0,01:58,21.0,1122.0
0,20112012,Boston Bruins,National Hockey League,1,38,29,30,81,30,43.4,67,5.0,0.0,34.0,1372:04,242.0,26.0,15.0,199:22,1170:48,11.98,7.0,0.0,0.0,01:54,17.0,1653.0
0,20122013,Boston Bruins,National Hockey League,1,16,16,16,48,16,48.89,32,4.0,0.0,23.0,816:44,161.0,25.0,6.0,105:24,710:58,9.94,2.0,0.0,0.0,00:22,6.0,963.0
0,20122013,Biel,Swiss,2,15,25,24,29,24,,40,,,,,,,,,,,,,,,,
0,20132014,Dallas Stars,National Hockey League,1,47,37,18,80,18,41.51,84,11.0,0.0,16.0,1547:49,294.0,48.0,25.0,301:03,1242:31,12.59,8.0,0.0,0.0,04:15,24.0,1874.0
0,20142015,Dallas Stars,National Hockey League,1,40,37,22,71,22,53.82,77,13.0,0.0,-1.0,1388:08,280.0,63.0,29.0,274:21,1109:50,13.21,5.0,0.0,0.0,03:57,26.0,1723.0
0,20142015,Canada,WC-A,2,0,9,2,10,2,,9,5.0,0.0,9.0,,36.0,,,,,,1.0,,,,,
0,20152016,Dallas Stars,National Hockey League,1,40,33,16,72,16,55.56,73,7.0,0.0,2.0,1399:51,278.0,80.0,24.0,238:59,1159:16,11.87,6.0,1.0,0.0,01:36,27.0,1744.0
0,20162017,Dallas Stars,National Hockey League,1,46,26,22,82,22,51.02,72,11.0,0.0,-15.0,1513:46,301.0,60.0,29.0,259:52,1251:45,8.64,4.0,1.0,0.0,02:09,26.0,1990.0
0,20172018,Dallas Stars,National Hockey League,1,38,40,43,82,43,54.86,78,14.0,1.0,12.0,1714:30,335.0,74.0,25.0,258:30,1329:21,11.94,6.0,1.0,2.0,126:39,44.0,2370.0
0,20182019,Dallas Stars,National Hockey League,1,47,33,18,82,18,53.86,80,9.0,0.0,17.0,1701:22,334.0,74.0,27.0,245:01,1385:10,9.88,8.0,2.0,0.0,71:11,47.0,2278.0
0,20192020,Dallas Stars,National Hockey League,1,33,17,22,69,22,58.16,50,3.0,0.0,-2.0,1321:18,245.0,90.0,15.0,176:45,1095:38,6.9,6.0,3.0,0.0,48:55,31.0,1830.0
0,20202021,Dallas Stars,National Hockey League,1,0,2,0,3,0,54.29,2,0.0,0.0,0.0,51:13,8.0,8.0,0.0,03:28,45:36,25.0,0.0,0.0,0.0,02:09,1.0,70.0
0,20212022,Dallas Stars,National Hockey League,1,25,24,30,81,30,56.04,49,3.0,0.0,-21.0,1443:18,218.0,96.0,13.0,203:26,1226:05,11.0,2.0,1.0,0.0,13:47,33.0,1927.0
